     108
nfi=       0 etot=         44.78225733
Ar           28.46500000          22.77200000          28.46500000
Ar           22.77200000          28.46500000          28.46500000
Ar           22.77200000          22.77200000          34.15800000
Ar           28.46500000          28.46500000          34.15800000
Ar           28.46500000          22.77200000          39.85100000
Ar           22.77200000          28.46500000          39.85100000
Ar           22.77200000          34.15800000          11.38600000
Ar           28.46500000          39.85100000          11.38600000
Ar           28.46500000          34.15800000          17.07900000
Ar           22.77200000          39.85100000          17.07900000
Ar           22.77200000          34.15800000          22.77200000
Ar           28.46500000          39.85100000          22.77200000
Ar           28.46500000          34.15800000          28.46500000
Ar           22.77200000          39.85100000          28.46500000
Ar           22.77200000          34.15800000          34.15800000
Ar           28.46500000          39.85100000          34.15800000
Ar           28.46500000          34.15800000          39.85100000
Ar           22.77200000          39.85100000          39.85100000
Ar           34.15800000          11.38600000          11.38600000
Ar           39.85100000          17.07900000          11.38600000
Ar           39.85100000          11.38600000          17.07900000
Ar           34.15800000          17.07900000          17.07900000
Ar           34.15800000          11.38600000          22.77200000
Ar           39.85100000          17.07900000          22.77200000
Ar           39.85100000          11.38600000          28.46500000
Ar           34.15800000          17.07900000          28.46500000
Ar           34.15800000          11.38600000          34.15800000
Ar           39.85100000          17.07900000          34.15800000
Ar           39.85100000          11.38600000          39.85100000
Ar           34.15800000          17.07900000          39.85100000
Ar           34.15800000          22.77200000          11.38600000
Ar           39.85100000          28.46500000          11.38600000
Ar           39.85100000          22.77200000          17.07900000
Ar           34.15800000          28.46500000          17.07900000
Ar           34.15800000          22.77200000          22.77200000
Ar           39.85100000          28.46500000          22.77200000
Ar           39.85100000          22.77200000          28.46500000
Ar           34.15800000          28.46500000          28.46500000
Ar           34.15800000          22.77200000          34.15800000
Ar           39.85100000          28.46500000          34.15800000
Ar           39.85100000          22.77200000          39.85100000
Ar           34.15800000          28.46500000          39.85100000
Ar           34.15800000          34.15800000          11.38600000
Ar           39.85100000          39.85100000          11.38600000
Ar           39.85100000          34.15800000          17.07900000
Ar           34.15800000          39.85100000          17.07900000
Ar           34.15800000          34.15800000          22.77200000
Ar           39.85100000          39.85100000          22.77200000
Ar           39.85100000          34.15800000          28.46500000
Ar           34.15800000          39.85100000          28.46500000
Ar           34.15800000          34.15800000          34.15800000
Ar           39.85100000          39.85100000          34.15800000
Ar           39.85100000          34.15800000          39.85100000
Ar           34.15800000          39.85100000          39.85100000
     108
nfi=     100 etot=         25.07101637
Ar           11.38612083          11.68874418          12.22837839
Ar           16.88272874          16.66087482          11.30494129
Ar           17.35615955          11.34355216          17.12489735
Ar           11.66447441          16.41069365          16.68483099
Ar           11.16052085          11.13371367          22.08698768
Ar           15.56181053          17.24052096          23.77921756
Ar           16.10492825          12.98183344          28.40663312
Ar           10.28018785          17.52255812          27.81679591
Ar           11.59957190          11.55166138          34.66052766
Ar           17.64734315          16.59318257          34.72052595
Ar           17.04102507          12.14899939          39.92935757
Ar           11.68155755          17.83134712          40.39319934
Ar           11.10446552          22.96254970          11.89695842
Ar           15.90734828          29.39046491          11.27467438
Ar           16.06228186          21.65274779          15.34295243
Ar           11.86240364          28.41239781          16.31222898
Ar           10.78544435          23.05007154          22.94884877
Ar           17.59254861          28.29549850          23.02820423
Ar           17.08776584          21.03996199          27.90173689
Ar           10.56656049          28.86489018          29.26514501
Ar           11.67798343          22.79806555          34.00153960
Ar           18.71424206          28.86815315          32.97039372
Ar           16.71183943          23.21092973          40.50317212
Ar           10.62428754          28.20398141          40.56252926
Ar           12.46956752          33.99837405          11.42761250
Ar           16.89661152          40.19368795          10.94615559
Ar           16.78562476          33.24487917          17.15437175
Ar           12.04216619          39.75582106          17.65148947
Ar           12.28121174          33.91718108          23.03172544
Ar           17.27756098          40.24868310          23.10441839
Ar           17.26828584          33.63174559          29.45203969
Ar           10.81578234          39.44185062          28.43796227
Ar           10.52488559          34.43553128          32.88909620
Ar           16.41384253          38.83658304          33.57777486
Ar           18.39411457          34.08364367          40.02373194
Ar           10.74796541          39.11103442          38.48345711
Ar           21.56970548          11.52477402          11.15547396
Ar           28.77490679          17.15573457          10.44415063
Ar           28.23990383          10.49748657          17.74716181
Ar           22.72139214          17.24478248          17.01871233
Ar           23.30822956          10.65339344          23.41982916
Ar           30.60316403          16.42712070          22.77448102
Ar           27.27548135          11.68698949          27.50823691
Ar           22.36605548          16.12019447          28.61846901
Ar           21.91593525          11.86043631          34.33957376
Ar           27.91116254          17.76657332          35.20353675
Ar           27.28905576          12.10286203          39.88266789
Ar           22.72814069          16.60063724          40.07193723
Ar           23.62102239          23.85801928          13.45211291
Ar           28.76253032          28.10241986          10.35357514
Ar           27.38615417          22.00599992          16.93740507
Ar           23.22522070          29.18751128          16.88487478
Ar           22.31009668          22.18179562          23.10146221
Ar           27.85441368          28.02257148          23.81352245
Ar           28.39935230          22.46468780          28.81807280
Ar           23.16155021          28.69257331          28.98281490
Ar           23.04193434          23.44205769          33.22972065
Ar           27.63512084          28.08580100          33.87723535
Ar           28.61905899          22.05852970          39.41474604
Ar           24.42395236          29.32829220          39.72714052
Ar           22.89408768          33.72677226          10.95369965
Ar           28.36723337          39.41468823          11.68048051
Ar           28.63846203          33.76570089          17.50048784
Ar           21.85863615          37.83291183          16.52108421
Ar           22.78613638          34.54823673          22.53103244
Ar           27.24999578          39.88241740          22.66458481
Ar           28.39116272          34.82857195          27.97391247
Ar           21.79007997          40.69657154          29.38056599
Ar           23.74802747          34.21024045          33.32748837
Ar           28.63394152          40.07190934          35.22281310
Ar           28.49657207          34.05919862          40.46323091
Ar           22.28047983          39.34682056          40.76891807
Ar           34.14322313          11.39646310          11.64016860
Ar           39.89480905          16.16746753          11.15443650
Ar           39.97893455          13.11750599          16.65514386
Ar           34.83815686          16.82492050          16.52923947
Ar           36.02890186          11.63559485          22.01119706
Ar           39.33184933          17.39093890          22.30303511
Ar           40.18332182          11.28866255          28.53583310
Ar           34.54477803          16.81097461          27.88293166
Ar           34.10301653          11.46421028          33.35353877
Ar           41.47047475          16.42906803          33.33905771
Ar           38.91059425          11.64853879          40.34902017
Ar           33.42277248          17.77363398          40.34669380
Ar           35.03117877          23.73908724          11.20200643
Ar           39.73751963          27.90858491          11.56070406
Ar           38.93310285          23.04243144          16.98737975
Ar           34.63699221          28.35701339          17.76149238
Ar           33.40419532          23.18627644          22.52776582
Ar           41.64494427          28.64802500          23.49019472
Ar           40.36941503          23.75107388          29.10816763
Ar           33.64634614          27.05716653          27.20716947
Ar           33.88265140          23.49340299          34.40011737
Ar           40.55423608          28.60245745          34.91720360
Ar           40.17182985          22.56127004          39.07406604
Ar           33.65393313          28.83188623          39.92290220
Ar           33.66881223          34.17429318          10.91444860
Ar           40.52233599          41.18640219          10.97433906
Ar           39.58819783          34.36139839          17.04668083
Ar           33.03395341          40.83321598          16.15762231
Ar           34.20897877          33.75694781          22.74133411
Ar           41.42324804          40.10216569          21.73941309
Ar           40.66942892          34.91563681          28.93093655
